,id,name,artists,danceability,tempo,duration_ms
58,7GX5flRQZVHRAGd6B4TmD,XO TOUR Llif3,Lil Uzi Vert,0.732,155.096,182707.0
59,2ijef6ni2amuunRoKTlgw,Sin Pijama,Becky G,0.7909999999999999,94.014,188560.0
60,2BgEsaKNfHUdlh97KmvFy,2002,Anne-Marie,0.6970000000000001,96.133,186987.0
61,0TlLq3lA83rQOYtrqBqSc,Nonstop,Drake,0.912,154.983,238614.0
62,7AQim7LbvFVZJE3O8TYgf,Fuck Love (feat. Trippie Redd),XXXTENTACION,0.797,131.036,146520.0
63,2QZ7WLBE8h2y1Y5Fb8RYb,In My Blood,Shawn Mendes,0.622,140.025,211360.0
64,7vGuf3Y35N4wmASOKLUVV,Silence,Marshmello,0.52,141.971,180823.0
65,5OCJzvD7sykQEKHH7qAC3,God is a woman,Ariana Grande,0.602,145.031,197547.0
66,1j6xOGusnyXq3l6IryKF3,D?jala que vuelva (feat. Manuel Turizo),Piso 21,0.6809999999999999,170.019,220117.0
67,66BjcDhhwWCcQIBxHMpKX,Flames,David Guetta,0.631,93.95,194680.0
68,0WdGQhoAP2LBsqr5Jhit2,What Lovers Do,Maroon 5,0.799,110.001,199849.0
69,4w8niZpiMy6qz1mntFA5u,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.841,95.948,212500.0
70,5Gu0PDLN4YJeW75PpBSg9,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,0.6629999999999999,103.073,174800.0
71,6QgjcU0zLnzq5OrUoSZ3O,Feel It Still,Portugal. The Man,0.8009999999999999,79.028,163253.0
72,77UjLW8j5UAGAGVGhR5oU,Pray For Me (with Kendrick Lamar),The Weeknd,0.735,100.584,211440.0
73,6n4U3TlzUGhdSFbUUhTvL,Walk It Talk It,Migos,0.909,145.905,276147.0
74,5k38wzpLb15YgncyWdTZE,Him & I (with Halsey),G-Eazy,0.589,87.90799999999999,268867.0
75,32lItqlMi4LBhb4k0BaSa,Candy Paint,Post Malone,0.67,180.024,227533.0
76,3a1lNhkSLSkpJE4MSHpDu,Congratulations,Post Malone,0.63,123.146,220293.0
77,4QtiVmuA88tPQiCOHZuQ5,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,0.792,94.96799999999999,201526.0
